,,Total Verses,Reading 1,vss,Reading 2,vss,Reading 3,vss,Reading 4,vss,,,,,,,,,,,,,,,
1,1/1/17,42,,,Matthew 1:1-17,17,Psalm 1:1-6,6,Proverbs 1:1-19,19,,,,,,,,,,,,,,,
2,1/2/17,43,Job 1:1-22,22,Matthew 1:18-25,8,,,Proverbs 1:20-33,13,,,,,,,,,,,,,,,
3,1/3/17,62,Job 2:1-13,13,Matthew 2:1-15,15,Psalm 2:1-12,12,Proverbs 2:1-22,22,,,,,,,,,,,,,,,
4,1/4/17,63,Job 3:1-26,26,Matthew 2:16-4:17,25,,,Proverbs 3:1-12,12,,,,,,,,,,,,,,,
5,1/5/17,57,Job 4:1-21,21,Matthew 4:18-22,5,Psalm 3:1-8,8,Proverbs 3:13-35,23,,,,,,,,,,,,,,,
6,1/6/17,69,Job 5:1-27,27,Matthew 4:23-5:12,15,,,Proverbs 4:1-27,27,,,,,,,,,,,,,,,
7,1/7/17,69,Job 6:1-30,30,Matthew 5:13-20,8,Psalm 4:1-8,8,Proverbs 5:1-23,23,,,,,,,,,,,,,,,
8,1/8/17,57,Job 7:1-21,21,Matthew 5:21-37,17,,,Proverbs 6:1-19,19,,,,,,,,,,,,,,,
9,1/9/17,64,Job 8:1-22,22,Matthew 5:38-6:4,15,Psalm 5:1-12,12,Proverbs 6:20-35,15,,,,,,,,,,,,,,,
10,1/10/17,73,Job 9:1-35,35,Matthew 6:5-15,11,,,Proverbs 7:1-27,27,,,,,,,,,,,,,,,
11,1/11/17,42,Job 10:1-22,22,Matthew 6:16-24,9,,,Proverbs 8:1-11,11,,,,,,,,,,,,,,,
12,1/12/17,65,Job 11:1-20,20,Matthew 6:25-34,10,Psalm 6:1-10,10,Proverbs 8:12-36,25,,,,,,,,,,,,,,,
13,1/13/17,66,Job 12:1-25,25,Matthew 7:1-29,29,,,Proverbs 9:1-12,12,,,,,,,,,,,,,,,
14,1/14/17,68,Job 13:1-28,28,Matthew 8:1-17,17,Psalm 7:1-17,17,Proverbs 9:13-18,6,,,,,,,,,,,,,,,
15,1/15/17,58,Job 14:1-22,22,Matthew 8:18-9:8,25,Psalm 8:1-9,9,Proverbs 10:1-2,2,,,,,,,,,,,,,,,
16,1/16/17,63,Job 15:1-35,35,Matthew 9:9-34,26,,,Proverbs 10:3-4,2,,,,,,,,,,,,,,,
17,1/17/17,63,Job 16:1-22,22,Matthew 9:35-10:15,19,Psalm 9:1-20,20,Proverbs 10:5-6,2,,,,,,,,,,,,,,,
18,1/18/17,36,Job 17:1-16,16,Matthew 10:16-33,18,,,Proverbs 10:7-8,2,,,,,,,,,,,,,,,
19,1/19/17,51,Job 18:1-21,21,Matthew 10:34-11:1,10,Psalm 10:1-18,18,Proverbs 10:9-10,2,,,,,,,,,,,,,,,
20,1/20/17,56,Job 19:1-29,29,Matthew 11:2-19,18,Psalm 11:1-7,7,Proverbs 10:11-12,2,,,,,,,,,,,,,,,
21,1/21/17,56,Job 20:1-29,29,Matthew 11:20-12:14,24,,,Proverbs 10:13-15,3,,,,,,,,,,,,,,,
22,1/22/17,42,Job 21:1-34,34,Matthew 12:15-21,7,,,Proverbs 10:16,1,,,,,,,,,,,,,,,
23,1/23/17,61,Job 22:1-30,30,Matthew 12:22-42,21,Psalm 12:1-8,8,Proverbs 10:17-18,2,,,,,,,,,,,,,,,
24,1/24/17,57,Job 23:1-17,17,Matthew 12:43-13:30,38,,,Proverbs 10:19-20,2,,,,,,,,,,,,,,,
25,1/25/17,53,Job 24:1-25,25,Matthew 13:31-50,20,Psalm 13:1-6,6,Proverbs 10:21-22,2,,,,,,,,,,,,,,,
26,1/26/17,30,Job 25:1-26:14,20,Matthew 13:51-58,8,,,Proverbs 10:23-24,2,,,,,,,,,,,,,,,
27,1/27/17,68,Job 27:1-23,23,Matthew 14:1-36,36,Psalm 14:1-7,7,Proverbs 10:24-25,2,,,,,,,,,,,,,,,
28,1/28/17,39,Job 28:1-28,28,Matthew 15:1-9,9,,,Proverbs 10:26-27,2,,,,,,,,,,,,,,,
29,1/29/17,42,Job 29:1-25,25,Matthew 15:10-20,10,Psalm 15:1-5,5,Proverbs 10:28-29,2,,,,,,,,,,,,,,,
30,1/30/17,63,Job 30:1-31,31,Matthew 15:21-39,19,Psalm 16:1-11,11,Proverbs 10:29-30,2,,,,,,,,,,,,,,,
31,1/31/17,54,Job 31:1-40,40,Matthew 16:1-12,12,,,Proverbs 10:31-32,2,,,,,,,,,,,,,,,
32,2/1/17,55,Job 32:1-22,22,Matthew 16:13-28,16,Psalm 17:1-15,15,Proverbs 11:1-2,2,,,,,,,,,,,,,,,
33,2/2/17,62,Job 33:1-33,33,Matthew 17:1-27,27,,,Proverbs 11:3-4,2,,,,,,,,,,,,,,,
34,2/3/17,77,Job 34:1-37,37,Matthew 18:1-14,14,Psalm 18:1-24,24,Proverbs 11:5-6,2,,,,,,,,,,,,,,,
35,2/4/17,63,Job 35:1-16,16,Matthew 18:15-35,20,Psalm 18:25-50,25,Proverbs 11:7-8,2,,,,,,,,,,,,,,,
36,2/5/17,79,Job 36:1-33,33,Matthew 19:1-30,30,Psalm 19:1-14,14,Proverbs 11:9-10,2,,,,,,,,,,,,,,,
37,2/6/17,51,Job 37:1-24,24,Matthew 20:1-16,16,Psalm 20:1-9,9,Proverbs 11:11-12,2,,,,,,,,,,,,,,,
38,2/7/17,69,Job 38:1-41,41,Matthew 20:17-28,12,Psalm 21:1-13,13,Proverbs 11:13-15,3,,,,,,,,,,,,,,,
39,2/8/17,64,Job 39:1-30,30,Matthew 20:29-21:27,32,,,Proverbs 11:16-17,2,,,,,,,,,,,,,,,
40,2/9/17,45,Job 40:1-24,24,Matthew 21:28-46,19,,,Proverbs 11:18-19,2,,,,,,,,,,,,,,,
41,2/10/17,69,Job 41:1-34,34,Matthew 22:1-33,33,,,Proverbs 11:20-21,2,,,,,,,,,,,,,,,
42,2/11/17,32,Job 42:1-17,17,Matthew 23:34-46,13,,,Proverbs 11:22-23,2,,,,,,,,,,,,,,,
43,2/12/17,30,,,Matthew 24:1-28,28,,,Proverbs 11:24-25,2,,,,,,,,,,,,,,,
44,2/13/17,43,Ecclesiastes 1:1-18,18,Matthew 24:29-51,23,,,Proverbs 11:26-27,2,,,,,,,,,,,,,,,
45,2/14/17,71,Ecclesiastes 2:1-26,26,Matthew 25:1-13,13,Psalm 22:1-31,31,Proverbs 11:28,1,,,,,,,,,,,,,,,
46,2/15/17,58,Ecclesiastes 3:1-22,22,Matthew 25:14-46,33,,,Proverbs 11:29-31,3,,,,,,,,,,,,,,,
